record_index,accession_number,title,publication_year,authors,doi,article_link,cite_label,screening_category,screening_categories_all,evidence,abstract_missing,pathway,social_or_nest_outcome,mortality,lt_lc,host_pest,extract_status
5752,rayyan-628426354,A Field Efficacy Evaluation of In2Care Mosquito Traps in Comparison with Routine Integrated Vector Management at Reducing Aedes aegypti.,2021,Buckner EA;Williams KF;Ramirez S;Darrisaw C;Carrillo JM;Latham MD;Lesser CR,10.2987/21-7038,https://doi.org/10.2987/21-7038,Buckner2021,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,autodissemination_device,,,,Aedes aegypti; Zika viruses,endpoint_in_abstract
942,rayyan-628419644,A preliminary evaluation of the potential of Beauveria bassiana for bed bug control,2012,"Barbarin, Alexis M;Jenkins, Nina E;Rajotte, Edwin G;Thomas, Matthew B",10.1016/j.jip.2012.04.009,https://doi.org/10.1016/j.jip.2012.04.009,Barbarin2012,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery,abstract,0,autodissemination_device,,,,Residual biopesticide; Cimex lectularius,endpoint_in_abstract
4960,rayyan-628424045,Adverse effects of the fungal biopesticide Beauveria bassiana on a predatory social wasp.,2024,Cappa F;De Fazi L;Baracchi D;Cervo R,10.1016/j.scitotenv.2023.168202,https://doi.org/10.1016/j.scitotenv.2023.168202,Cappa2024,03-autodissemination-social,03-autodissemination-social,abstract,0,,,,,Adverse effects; Social wasps,no_endpoint_in_abstract
450,rayyan-628415842,Auto-dissemination of commercially available fungal pathogens in a laboratory assay for management of the brown dog tick Rhipicephalus sanguineus,2019,"Weeks, E. N. I.;Allan, S. A.;Gezan, S. A.;Kaufman, P. E.",10.1111/mve.12426,https://doi.org/10.1111/mve.12426,Weeks2019,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery,abstract,0,autodissemination_device,,,,Rhipicephalus sanguineus,endpoint_in_abstract
3552,rayyan-628422474,Autodissemination of Beauveria bassiana by sap beetles (Coleoptera: Nitidulidae) to overwintering sites,2003,"Dowd, PF;Vega, FE",10.1080/0958315021000054395,https://doi.org/10.1080/0958315021000054395,Dowd2003,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,autodissemination_device,,,,Carpophilus lugubris,endpoint_in_abstract
6150,rayyan-628433116,Autodissemination of Metarhizium anisopliae and Beauveria bassiana in Musca domestica L. Results in Less Oviposition and Short Gonotrophic Cycle,2015,"Garcia-Munguia, CA;Reyes-Villanueva, F;Rodriguez-Perez, MA;Cortez-Madrigal, H;Acosta-Ramos, M;Ibarra-Juarez, LA;Velazquez-Machuca, MA;Silva-Garcia, JT;Rebollar-Plata, M;Garcia-Munguia, AM",,http://europepmc.org/abstract/AGR/IND604666420,Garcia-Munguia2015,03-autodissemination-social,03-autodissemination-social,abstract,0,autodissemination_device,,,LT50 of 7 and 5 days | LT50 was 3 days with a sporulation rate of 94% an | LT50 | LT50 values of nine treatments (six fungal gr,Musca domestica; Fungal treatments,endpoint_in_abstract
5454,rayyan-628425450,Autoinoculation trap for management of Hypothenemus hampei (Ferrari) with Beauveria bassiana (Bals.) in coffee crops,2017,"Mota, Luiz Henrique Costa;Silva, Weliton D;Sermarini, Renata Alcarde;Demetrio, Clarice Garcia Borges;Bento, Jose Mauricio S;Delalibera, Italo",10.1016/j.biocontrol.2017.05.007,https://doi.org/10.1016/j.biocontrol.2017.05.007,Mota2017,03-autodissemination-social,03-autodissemination-social|02c_formulation_delivery|02a_efficacy,abstract,0,autodissemination_device,,88.5% confirmed mortality,,Hypothenemus hampei,endpoint_in_abstract
5820,rayyan-628426711,Beauveria bassiana is a potential effective biological agent against Psoroptes ovis var. cuniculi mites,2019,"Jiang, An;Yuanyuan;Yang, Rui;Zhang, Na;Xie, Yue;Lai, Weiming;Peng, Xuerong;Yang, Guangyou;Gu, Xiaobin",10.1016/j.biocontrol.2019.01.010,https://doi.org/10.1016/j.biocontrol.2019.01.010,Jiang2019,03-autodissemination-social,03-autodissemination-social,abstract,0,horizontal_transmission,"horizontal transmission between Psoroptes ovis mites, but we still lack information on the",100% mortality | resulted in 100% mortality,LT50 of 2,Psoroptes ovis; Previous studies,endpoint_in_abstract
5813,rayyan-628426548,Bio efficacy of Indigenous isolates of Beauveria bassiana against different Stages of Bactrocera zonata (Guava Fruit fly),2025,"Riaz, Shehla;Haq, Imran Ul;Ali, Rameesha Amjad;Majeed, Shahid;, Muneeba;Abbas, Huma;Javaid, Faria",10.21203/rs.3.rs-7259186/v1,https://doi.org/10.21203/rs.3.rs-7259186/v1,Riaz2025,03-autodissemination-social,03-autodissemination-social,abstract,0,horizontal_transmission,horizontal transmission of fruit fly adult was tested achieving highest mortality rates wh,98% mortality,,Bio efficacy; Indigenous isolates,endpoint_in_abstract
5448,rayyan-628425366,"Biodiversity and pathogenicity of entomopathogenic fungi associated with the lesser spruce sawfly, Pristiphora abietina",2021,"Biryol, Seda;Araz, Nazan;Eski, Ardahan;Akturk, Rasim;Aksu, Yasar;Celik Gokturk, Berna;Bilgin, Lale;Demir, Ismail",10.1111/eea.13035,https://doi.org/10.1111/eea.13035,Biryol2021,03-autodissemination-social,03-autodissemination-social,abstract,0,horizontal_transmission,horizontal transmission in the pest population was shown,59-100% mortality | caused 59-100% mortality,,Pristiphora abietina; Chemical pesticides,endpoint_in_abstract
