record_index,accession_number,title,publication_year,authors,doi,urls,secondary_title,screening_category,screening_categories_all,tags,inclusion_reason,source_wave,agent_confidence,qa_status,prior_asreview_label
5004,rayyan-628424143,A New Isolate Beauveria bassiana GxABT-1: Efficacy against Myzus persicae and Promising Impact on the Beet Mild Yellow Virus-Aphid Association.,2024,Dessauvages K;Scheifler M;Francis F;Ben Fekih I,10.3390/insects15090697,https://pubmed.ncbi.nlm.nih.gov/39336665/,Insects,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
5017,rayyan-628424174,Activity of Metarhizium brunneum and Beauveria bassiana against early developmental stages of the false codling moth Thaumatotibia leucotreta.,2020,Mondaca LL;Da-Costa N;Protasov A;Ben-Yehuda S;Peisahovich A;Mendel Z;Ment D,10.1016/j.jip.2019.107312,https://pubmed.ncbi.nlm.nih.gov/31870852/,Journal of invertebrate pathology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
1141,rayyan-628419856,Application of an entomopathogenic fungus (Beauveria bassiana) increases potato nematodes reproduction and potato tubers damage caused by Ditylenchus destructor and D. dipsaci,2017,"Mwaura, Peter;Niere, Bjorn;Vidal, Stefan",10.1016/j.biocontrol.2017.08.012,"[""http://europepmc.org/abstract/AGR/IND605825896"", ""https://doi.org/10.1016/j.biocontrol.2017.08.012""]",Biological Control.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
501,rayyan-628415943,"Applications of Beauveria bassiana (Hypocreales: Cordycipitaceae) to Control Populations of Spotted Lanternfly (Hemiptera: Fulgoridae), in Semi-Natural Landscapes and on Grapevines",2020,"Clifton, Eric H;Hajek, Ann E;Jenkins, Nina E;Roush, Richard T;Rost, John P;Biddinger, David J",10.1093/ee/nvaa064,https://app.dimensions.ai/details/publication/pub.1127525982,Environmental Entomology,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
4963,rayyan-628424052,Biocontrol of invasive pheretimoid earthworms using Beauveria bassiana.,2021,Nouri-Aiin M;Gorres JH,10.7717/peerj.11101,https://pubmed.ncbi.nlm.nih.gov/33868811/,PeerJ,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
2081,rayyan-628420887,Biocontrol of strawberry fruit infected by Botrytis cinerea: Effects on the microbial communities on fruit assessed by next-generation sequencing,2018,"Cruz, Andre Freire;Barka, Geleta Dugassa;Sylla, Justine;Reineke, Annette",10.1111/jph.12700,"[""http://europepmc.org/abstract/AGR/IND605939303"", ""https://doi.org/10.1111/jph.12700""]",Journal of Phytopathology.,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
5031,rayyan-628424226,"Biological control of Western flower thrips, Frankliniella occidentalis using a self-sustaining granular fungal treatment.",2021,Davari A;Parker BL;Sullivan CF;Ghalehgolabbehbahani A;Skinner M,10.1017/S0007485321000365,https://pubmed.ncbi.nlm.nih.gov/34134799/,Bulletin of entomological research,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
3719,rayyan-628422650,Biological control of greenhouse whitefly (Trialeurodes vaporariorum) with fungal insecticides,2003,"Siongers, C;Coosemans, J",,http://europepmc.org/abstract/MED/15149114,Communications in agricultural and applied biological sciences,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
816,rayyan-628419511,"Biological control of the red flour beetle, Tribolium castaneum, using entomopathogenic fungi",2019,"Al-Zurfi, Sienaa Muslim Abid",,"[""http://europepmc.org/theses/ETH/820217"", ""https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.820217""]",,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
1269,rayyan-628419994,"Biological response of chilli thrips, Scirtothrips dorsalis Hood (Thysanoptera: Thripidae), to various regimes of chemical and biorational insecticides",2010,"Seal, Dakshina R;Kumar, Vivek",10.1016/j.cropro.2010.07.011,"[""http://europepmc.org/abstract/AGR/IND44425198"", ""https://doi.org/10.1016/j.cropro.2010.07.011""]",Crop Protection,01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
5000,rayyan-628424135,Biopolymer-Based Formulations of Beauveria bassiana for Biological Control of the Cabbage Whitefly (Aleyrodes proletella).,2026,Spasova M;Chervenkova E;Stoeva A;Petkova M;Stoilova O,10.3390/pathogens15050524,https://pubmed.ncbi.nlm.nih.gov/42198650/,"Pathogens (Basel, Switzerland)",01-existing-products,01-existing-products,existing-products,Named commercial Bb product or registry/approval product record,wave1_narrow_signal,high,accepted,
